scenario,x_m,y_m,worst_mec_radius_m,worst_area_m2,worst_diameter_m,within_5pct,robust_le20
center,718.7719590377147,-541.6335208342118,64.62807950697591,2624.959277111717,129.25615901395182,0,0
center,728.1152949325588,-529.0067270606792,64.69934050670648,2597.891722182485,129.39868101341295,0,0
center,737.2368398551549,-516.2187927134806,64.81523883063284,2572.150540027058,129.63047766126547,0,0
center,746.1338152945576,-503.27361312129784,64.97899733266767,2547.8139346840253,129.95799466533512,0,0
center,754.8035111458612,-490.1751315112373,65.19422701458802,2524.9689147489007,130.38845402917605,0,0
center,763.2432865357237,-476.9273378076853,65.46498300370897,2503.7123921486636,130.9299660074177,0,0
center,771.4505706268038,-463.53426741693823,65.79582989220225,2484.1524591829148,131.59165978440427,0,0
center,779.4228634008615,-449.99999999797876,66.19191903241611,2466.409870158044,132.38383806483222,0,0
center,787.1577364202885,-436.32865821977197,66.65908002872389,2450.619754353789,133.31816005744759,0,0
center,794.6528335678336,-422.5244065054608,67.20392949196595,2436.933625194495,134.4078589839317,0,0
center,665.3893153087445,-642.5589926713859,63.1150143285855,2787.2248762069157,126.23002865717079,0,0
center,676.50217399317,-630.8484830547037,62.90438479031504,2747.5997001223823,125.80876958062989,0,0
center,687.4089635619735,-618.9458108789165,62.721549261422794,2712.9637913617335,125.44309852284559,0,0
center,698.1063617013957,-606.854601813273,62.56790121963307,2672.780935548428,125.13580243926594,0,0
center,708.5911098803356,-594.5785389571845,62.44498755271163,2631.0124058366673,124.88997510542305,0,0
center,718.8600143429297,-582.121361718318,62.35452724789245,2599.891521553611,124.70905449578468,0,0
center,728.9099470814017,-569.4868646735359,62.298432615820104,2564.1389065417134,124.59686523164021,0,0
center,738.7378467888834,-556.6788964130311,62.27883396001615,2533.807401576025,124.5576679200323,0,0
center,748.3407197919191,-543.7013583680093,62.29810818331905,2504.6362033660225,124.59621636663789,0,0
center,757.7156409623667,-530.5582036222754,62.35891175759134,2476.6892508450364,124.71782351518269,0,0
center,766.859754608421,-517.2534357080852,62.464219360532255,2450.0377570668206,124.9284387210643,0,0
center,775.7702753444844,-503.79110738663195,62.61736862638229,2424.761113351029,125.23473725276457,0,0
center,784.4444889396224,-490.1753194135347,62.82211307883517,2400.9479149661383,125.64422615767035,0,0
center,792.8797531443449,-476.410219289709,63.082683946789544,2378.697169384319,126.16536789357909,0,0
center,801.0734984954611,-462.4999999979984,63.403863474459015,2358.11968094017,126.80772694891803,0,0
