trial,policy,scenario,station_x_m,station_y_m,target_x_m,target_y_m,q_x_m,q_y_m,receive_radius_m,move_m,decision_time_ms,safe_certified,safe_margin_m,conditional_worst_mec_radius_m,conditional_worst_diameter_m,conditional_worst_area_m2,conservative_worst_mec_radius_m,detected,near,area_m2,diameter_m,mec_radius_m,contains_truth
13,analytic_far_range,global_random,-683.3540372213622,-1664.0815328243284,-1082.4049332127356,-1239.52102245791,-1601.6178007209028,-1268.112265527408,1446.8983395640369,1000.0000000000001,0.0,1,4.581579560181126e-11,57.924543744602,115.84908748920395,1688.589159448631,57.924543744602,1,0,488.275918177329,46.79705289424656,23.39852644712332,1
13,fixed_750_375,global_random,-683.3540372213622,-1664.0815328243284,-1082.4049332127356,-1239.52102245791,-1474.3613740313772,-1385.8147667297626,1446.8983395640369,838.5254915624213,0.0,1,161.47450843762374,76.70149127798315,153.4029825559661,2619.2057435987517,76.70149127798315,1,0,319.5355998883024,32.149434311228816,16.074717155614522,1
14,minimax_mec,global_random,474.7234315252976,-1001.6301571641608,-463.6722194810924,-1257.445501144966,-193.7697321139529,-1745.3484439883277,1125.3269027644608,999.9999999945438,2526.388957999998,1,5.483798304339871e-09,55.83956391545898,111.67912783091789,2167.394634969998,55.83956391545898,1,0,680.6701562087983,44.093147603850646,22.04657380192539,1
14,analytic_far_range,global_random,474.7234315252976,-1001.6301571641608,-463.6722194810924,-1257.445501144966,-316.8309364097984,-1612.7289074516007,1125.3269027644608,1000.0000000000001,0.0,1,2.205524651799351e-11,58.9667891823085,117.93357835567744,1922.576021535322,58.9667891823085,1,0,461.7420421051793,38.275671809155675,19.137835904577855,1
14,fixed_750_375,global_random,474.7234315252976,-1001.6301571641608,-463.6722194810924,-1257.445501144966,-152.18654451920935,-1558.5043637277938,1125.3269027644608,838.5254915624212,0.0,1,161.47450843760305,76.6291973546504,153.25839469669157,2754.003907784354,76.6291973546504,1,0,598.5277323317714,50.692823997841366,25.346411998920683,1
15,minimax_mec,global_random,-1288.8536298392582,1060.208071679289,-1479.8250862972397,969.5610031730997,-1387.840884329768,803.6412705377975,1423.3121859904716,274.9999999991757,2957.676208000002,1,725.0000000008292,6.907972320280801,13.8159446405615,66.24121281364933,6.907972320280801,1,0,48.236297751776874,10.105143307899626,5.052571653949813,1
15,analytic_far_range,global_random,-1288.8536298392582,1060.208071679289,-1479.8250862972397,969.5610031730997,-1951.1793134197046,310.99202215172136,1423.3121859904716,1000.0000000000002,0.0,1,1.9326762412674725e-11,43.55177882818556,87.10355765637087,472.1788568459451,43.55177882818556,1,0,433.01555656967685,73.6920740887415,36.84603704437078,1
15,fixed_750_375,global_random,-1288.8536298392582,1060.208071679289,-1479.8250862972397,969.5610031730997,-1799.6905353616949,395.24893311793267,1423.3121859904716,838.5254915624212,0.0,1,161.47450843759566,31.619423874412348,63.2388477488245,319.64598214719445,31.619423874412348,1,0,294.1122443238273,51.34894289067231,25.674471445336252,1
16,minimax_mec,global_random,320.74650544684613,-620.7744982605178,1370.8386903702974,233.05505124054764,1314.3134420474375,-507.52811870159326,1367.5520351605019,999.9999999945438,3096.5603329999994,1,5.412402970250696e-09,55.83233530484018,111.6646706096803,2167.5019927648827,55.83233530484018,1,0,1663.5460176831111,91.99876789329146,45.99938394664573,1
16,analytic_far_range,global_random,320.74650544684613,-620.7744982605178,1370.8386903702974,233.05505124054764,788.3314794768417,263.1736292115462,1367.5520351605019,1000.0,0.0,1,-5.7980287238024175e-12,58.96942810517341,117.93885620178656,1940.8941373450216,58.96942810517341,1,0,1455.3328376722056,96.91063585054042,48.45531792527032,1
16,fixed_750_375,global_random,320.74650544684613,-620.7744982605178,1370.8386903702974,233.05505124054764,660.9023129062427,145.65816456880475,1367.5520351605019,838.5254915624212,0.0,1,161.47450843757633,76.6322986185529,153.26459723539023,2803.905893869465,76.6322986185529,1,0,2291.0564270102186,134.84139775351642,67.42069887675821,1
17,minimax_mec,global_random,257.7589348382577,435.5052845231548,1085.8615502994996,772.2692996249979,1252.3430809111474,331.57080333848853,1091.6651107469154,999.9999999993324,3118.8050409999946,1,7.048583938740194e-10,44.195997604865155,88.39199520973023,1445.3501513260417,44.195997604865155,1,0,514.5632614702918,35.89439903152714,17.94719951576363,1
17,analytic_far_range,global_random,257.7589348382577,435.5052845231548,1085.8615502994996,772.2692996249979,969.121870585173,1138.3301372749127,1091.6651107469154,1000.0,0.0,1,6.17319528828375e-11,45.76839185654891,91.53678371309759,1343.4220159449615,45.76839185654891,1,0,420.28878904809244,35.02681922587947,17.513409612939736,1
17,fixed_750_375,global_random,257.7589348382577,435.5052845231548,1085.8615502994996,772.2692996249979,812.2938030447104,1064.4854749451206,1091.6651107469154,838.5254915624213,0.0,1,161.47450843764057,60.84070556693294,121.68141113386588,1996.2204143311828,60.84070556693294,1,0,464.2781094033271,40.92237388082819,20.461186940414194,1
18,minimax_mec,global_random,585.0632525063305,-1320.8834330340594,1040.5227866076116,-760.9972957640923,703.0985300923497,-327.8740306443949,1433.0740769319202,999.9999999945437,3121.547541999995,1,5.412402970250696e-09,55.825290280110515,111.65058056022082,2166.629885281087,55.825290280110515,1,0,501.80390571500175,35.664936503673125,17.832468251836573,1
18,analytic_far_range,global_random,585.0632525063305,-1320.8834330340594,1040.5227866076116,-760.9972957640923,880.0853334820911,-365.3929978455475,1433.0740769319202,1000.0000000000001,0.0,1,-4.7975845518521965e-11,58.94894115208381,117.89788229780814,1921.7450400926173,58.94894115208381,1,0,431.2030789859127,39.43038953397827,19.715194766989136,1
18,fixed_750_375,global_random,585.0632525063305,-1320.8834330340594,1040.5227866076116,-760.9972957640923,776.7361220617161,-504.5584296950682,1433.0740769319202,838.525491562421,0.0,1,161.47450843753234,76.6082219733968,153.2164439361916,2777.4314303431893,76.6082219733968,1,0,332.37432615831494,29.33568719163267,14.667843595816334,1
19,minimax_mec,global_random,541.3213790987387,95.9327285253565,220.97427500171074,1116.6107681737046,814.8153996878466,1057.806431612769,1453.7888454698557,999.9999999945436,3111.4920410000054,1,5.487549969984684e-09,55.82874582591132,111.65749165182264,2166.815017073939,55.82874582591132,1,0,818.3623876041383,52.399625837193895,26.199812918597,1
19,analytic_far_range,global_random,541.3213790987387,95.9327285253565,220.97427500171074,1116.6107681737046,-98.08511168430698,864.8015987135772,1453.7888454698557,999.9999999999999,0.0,1,5.809397407574579e-11,58.97641045149603,117.95282088834777,1943.8614794733585,58.97641045149603,1,0,587.1761110349908,48.60917209462146,24.30458604731083,1
19,fixed_750_375,global_random,541.3213790987387,95.9327285253565,220.97427500171074,1116.6107681737046,-37.92456243255265,702.2322743107115,1453.7888454698557,838.5254915624212,0.0,1,161.47450843763693,76.64050414103697,153.28100828207394,2804.1033626402495,76.64050414103697,1,0,887.4328095952515,68.5421389635955,34.27106948179776,1
20,minimax_mec,global_random,-315.43416697326313,922.4603624350264,417.98703339491317,1194.725890240109,665.3627879601247,727.4287414540134,1256.914677051153,999.9999999945437,3186.318125,1,5.425135896075517e-09,52.749455577083,105.49891115141344,1992.3974271081388,52.749455577083,1,0,516.1315437558806,35.11079394669666,17.55539697334833,1
