layout,noise,n,vertices_count,total,bounded,unbounded,degenerate,failures,failure_rate,source_outside_count,median_vertices,mean_circularity,median_circularity,median_ratio,p95_ratio,max_ratio,failure_over_1pct,polygon_inside_arena_count
local_walk,uniform,2,4,2154,2154,0,0,0,0.0,0,4.0,0.1284721266847002,0.0956734428366984,1.0,1.0000000000000002,1.0000000000000004,0.0,1500
local_walk,uniform,3,3,140,140,0,0,2,0.014285714285714285,0,3.0,0.12135775712747439,0.08659450192444604,1.0,1.0000000000000002,1.0294516214999316,0.014285714285714285,123
local_walk,uniform,3,4,1083,1083,0,0,6,0.00554016620498615,0,4.0,0.17359067860568003,0.12642394378024968,1.0,1.0000000000000002,1.0382407066665864,0.0018467220683287165,897
local_walk,uniform,3,5,1096,1096,0,0,5,0.004562043795620438,0,5.0,0.18840908495472872,0.15807658188958104,1.0,1.0000000000000002,1.0319258261757782,0.0018248175182481751,881
local_walk,uniform,3,6,133,133,0,0,2,0.015037593984962405,0,6.0,0.31226097189483615,0.24553711882073745,1.0,1.0000000000000002,1.010370480433866,0.007518796992481203,115
local_walk,uniform,4,3,154,154,0,0,7,0.045454545454545456,0,3.0,0.17047539059846012,0.13354654667619578,1.0,1.0000000000000002,1.0306742489557539,0.032467532467532464,143
local_walk,uniform,4,4,988,988,0,0,10,0.010121457489878543,0,4.0,0.21468537425630208,0.16963578925040593,1.0,1.0000000000000002,1.0561586969677588,0.005060728744939271,893
local_walk,uniform,4,5,925,925,0,0,10,0.010810810810810811,0,5.0,0.2349992596655731,0.20015592921684774,1.0,1.0000000000000002,1.0702111487161932,0.003243243243243243,815
local_walk,uniform,4,6,389,389,0,0,5,0.012853470437017995,0,6.0,0.268354160402528,0.23373978057081407,1.0,1.0000000000000002,1.0306084330092218,0.007712082262210797,338
local_walk,uniform,4,7,33,33,0,0,0,0.0,0,7.0,0.2500888939736602,0.22080552128303102,1.0,1.0000000000000002,1.0000000000000002,0.0,29
local_walk,uniform,4,8,3,3,0,0,0,0.0,0,8.0,0.2221950735948978,0.17819355479257876,1.0,1.0000000000000002,1.0000000000000002,0.0,3
local_walk,uniform,6,3,152,152,0,0,8,0.05263157894736842,0,3.0,0.22792667375361186,0.194169610049771,1.0,1.0007256836088936,1.0653021685793997,0.02631578947368421,145
local_walk,uniform,6,4,954,954,0,0,32,0.033542976939203356,1,4.0,0.2835304300428279,0.2539110627278831,1.0,1.0000000000000002,1.0721294222340205,0.016771488469601678,921
local_walk,uniform,6,5,888,888,0,0,24,0.02702702702702703,0,5.0,0.3124167049335307,0.27343195213314364,1.0,1.0000000000000002,1.0502245379215887,0.01126126126126126,832
local_walk,uniform,6,6,409,409,0,0,8,0.019559902200488997,0,6.0,0.3289522451348245,0.2974703009328577,1.0,1.0000000000000002,1.0186952755414898,0.009779951100244499,390
local_walk,uniform,6,7,87,87,0,0,2,0.022988505747126436,0,7.0,0.33366658064401533,0.29008382879921407,1.0,1.0000000000000002,1.0380994473196614,0.022988505747126436,81
local_walk,uniform,6,8,9,9,0,0,0,0.0,0,8.0,0.4665056540411172,0.5088465327902416,1.0,1.0,1.0,0.0,9
local_walk,uniform,6,9,1,1,0,0,0,0.0,0,9.0,0.7690197068193052,0.7690197068193052,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.0,1
local_walk,uniform,8,3,172,172,0,0,15,0.0872093023255814,1,3.0,0.24978077193201428,0.2053163278978922,1.0,1.0072439776782034,1.071736927835149,0.046511627906976744,167
local_walk,uniform,8,4,896,896,0,0,47,0.052455357142857144,1,4.0,0.3379712131773713,0.3147573092969283,1.0,1.0000258199538279,1.0864850096570267,0.027901785714285716,875
