x_m,y_m,worst_mec_radius_m
375.0,-300.0,140.0228170085155
400.0,-300.0,136.32322583048602
425.0,-300.0,132.65815190671836
450.0,-300.0,129.02813413793106
475.0,-300.0,125.43373477601884
500.0,-300.0,121.87554137470617
525.0,-300.0,118.35416922205829
550.0,-300.0,114.87026396473935
575.0,-300.0,111.42450443883256
600.0,-300.0,108.01760621888465
625.0,-300.0,104.65032527537615
650.0,-300.0,101.32346222151723
675.0,-300.0,98.03786725856675
700.0,-300.0,94.79444565994322
725.0,-300.0,91.59416405089
750.0,-300.0,88.43805762150969
775.0,-300.0,85.327238237101
800.0,-300.0,82.26290386934305
825.0,-300.0,79.24634923591842
850.0,-300.0,76.27897810240655
875.0,-300.0,73.36231720634238
900.0,-300.0,70.49803244762809
925.0,-300.0,67.687947015183
950.0,-300.0,64.93406245046278
50.0,-275.0,202.84831635502331
75.0,-275.0,198.50428297728035
100.0,-275.0,194.18934210122464
125.0,-275.0,189.9038624635371
150.0,-275.0,185.648223002918
175.0,-275.0,181.42281231497344
200.0,-275.0,177.22803007159598
225.0,-275.0,173.064287377739
250.0,-275.0,168.9320074245584
275.0,-275.0,164.83162646129483
300.0,-275.0,160.76359462588107
325.0,-275.0,156.72837689104463
350.0,-275.0,152.72645413625722
375.0,-275.0,148.7583245995931
400.0,-275.0,144.8245047661793
425.0,-275.0,140.9255314171755
450.0,-275.0,137.06196283880217
475.0,-275.0,133.23438094045682
500.0,-275.0,129.4433933873116
525.0,-275.0,125.68963578061783
550.0,-275.0,121.97377450776598
575.0,-275.0,118.29650977415123
600.0,-275.0,114.65857886169584
625.0,-275.0,111.06076016440626
650.0,-275.0,107.5038775776902
675.0,-275.0,103.98880544745036
700.0,-275.0,100.51647454362215
725.0,-275.0,97.08787839803703
750.0,-275.0,93.70408110388291
775.0,-275.0,90.36622591234372
800.0,-275.0,87.07554532029894
825.0,-275.0,83.83337270172996
850.0,-275.0,80.64115559321237
875.0,-275.0,77.50047134781526
900.0,-275.0,74.41304501180609
925.0,-275.0,71.38077018634759
950.0,-275.0,68.40573311781418
50.0,-250.0,216.4017882396278
75.0,-250.0,211.79396867255858
100.0,-250.0,207.21516545442594
125.0,-250.0,202.66576395417812
150.0,-250.0,198.14615950471617
175.0,-250.0,193.65675798830907
200.0,-250.0,189.19797649277186
225.0,-250.0,184.7702434889573
250.0,-250.0,180.3740004530492
275.0,-250.0,176.0097017095736
300.0,-250.0,171.6778161406379
325.0,-250.0,167.3788275517131
350.0,-250.0,163.1132360882737
375.0,-250.0,158.88155938170937
400.0,-250.0,154.68433369115445
425.0,-250.0,150.52211588418396
450.0,-250.0,146.3954843980699
475.0,-250.0,142.30504184842243
500.0,-250.0,138.25141659311868
525.0,-250.0,134.2352654464296
550.0,-250.0,130.25727617651205
575.0,-250.0,126.31817059933557
600.0,-250.0,122.41870805926312
625.0,-250.0,118.55968948079045
650.0,-250.0,114.74196166246713
675.0,-250.0,110.96642261987395
700.0,-250.0,107.23402732885256
725.0,-250.0,103.54579474878882
750.0,-250.0,99.90281571491388
775.0,-250.0,96.30626176860594
800.0,-250.0,92.75739617420165
825.0,-250.0,89.25758595692733
850.0,-250.0,85.80831639893225
875.0,-250.0,82.41120789512412
900.0,-250.0,79.06803559383442
925.0,-250.0,75.78075260239588
950.0,-250.0,72.55151701277121
50.0,-225.0,232.10846976663206
75.0,-225.0,227.205387241534
100.0,-225.0,222.3309902301072
125.0,-225.0,217.48568022439503
150.0,-225.0,212.66986930475377
175.0,-225.0,207.88398016373657
200.0,-225.0,203.12844728688947
225.0,-225.0,198.40371716464466
250.0,-225.0,193.7102491216655
275.0,-225.0,189.04851625608185
300.0,-225.0,184.41900597872578
325.0,-225.0,179.82222157502403
